CustomerID,Age,Gender,MaritalStatus,IncomeLevel,transaction_count,total_spent,avg_spent,median_spent,max_spent,min_spent,spend_std,unique_product_categories,weekend_transaction_rate,days_since_last_transaction,transaction_history_days,transactions_per_active_day,tx_category_count_Books,tx_category_count_Clothing,tx_category_count_Electronics,tx_category_count_Furniture,tx_category_count_Groceries,service_interaction_count,unresolved_interaction_count,complaint_count,unresolved_rate,days_since_last_service_interaction,service_history_days,service_type_count_Complaint,service_type_count_Feedback,service_type_count_Inquiry,service_resolution_count_Resolved,service_resolution_count_Unresolved,LoginFrequency,ServiceUsage,days_since_last_login,ChurnStatus,avg_spend_per_login,service_interactions_per_transaction,complaints_per_transaction,low_login_frequency_flag
1,62,M,Single,Low,1,416.5,416.5,416.5,416.5,416.5,0.0,1,1.0,279,0,1.0,0,0,1,0,0,1.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,1.0,1.0,0.0,34,Mobile App,71,0,12.25,1.0,0.0,0
2,65,M,Married,Low,7,1547.4199999999998,221.05999999999997,199.73,397.37,54.96,119.9237479956882,4,0.42857142857142855,42,314,0.022222222222222223,0,2,3,1,1,1.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,1.0,1.0,0.0,5,Website,26,1,309.484,0.14285714285714285,0.0,1
3,18,M,Single,Low,6,1702.98,283.83,293.79,419.95,51.07,133.48040904941817,4,0.5,84,239,0.025,1,1,0,2,2,1.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,1.0,0.0,3,Website,46,0,567.66,0.16666666666666666,0.0,1
4,21,M,Widowed,Low,5,917.29,183.458,125.64,382.39,44.22,131.57823896830357,4,0.4,4,219,0.022727272727272728,0,1,2,1,1,2.0,1.0,0.0,0.5,42.0,138.0,0.0,0.0,2.0,1.0,1.0,2,Website,128,0,458.645,0.4,0.0,1
5,21,M,Divorced,Medium,8,2001.49,250.18625,219.48,475.69,69.86,129.77820903784823,3,0.0,10,303,0.02631578947368421,0,0,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Website,65,0,48.816829268292686,0.0,0.0,0
6,57,F,Divorced,Medium,5,1164.29,232.858,204.16,448.86,41.7,171.92925818487092,4,0.4,63,118,0.04201680672268908,1,1,1,2,0,1.0,0.0,0.0,0.0,239.0,0.0,0.0,1.0,0.0,1.0,0.0,2,Website,105,0,582.145,0.2,0.0,1
7,27,F,Married,High,1,86.73,86.73,86.73,86.73,86.73,0.0,1,0.0,68,0,1.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Mobile App,358,0,2.7103125,0.0,0.0,0
8,37,M,Single,Low,7,2046.88,292.4114285714286,263.24,483.91,161.56,101.42153755959521,4,0.0,52,244,0.02857142857142857,2,2,1,2,0,2.0,2.0,0.0,1.0,108.0,137.0,0.0,1.0,1.0,0.0,2.0,17,Online Banking,253,1,120.40470588235294,0.2857142857142857,0.0,0
9,39,M,Divorced,High,5,1317.24,263.448,325.96,472.21,44.26,184.73078944777993,3,0.2,73,279,0.017857142857142856,0,2,1,0,2,1.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,1.0,1.0,0.0,24,Website,187,0,54.885,0.2,0.0,0
10,68,M,Married,High,7,1397.36,199.62285714285713,179.0,471.18,5.86,158.3819178141122,4,0.2857142857142857,61,285,0.024475524475524476,0,1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Online Banking,352,1,48.18482758620689,0.0,0.0,0
11,54,M,Divorced,Medium,5,1733.83,346.76599999999996,347.37,462.0,163.78,115.32365273438056,2,0.0,17,288,0.01730103806228374,3,0,0,0,2,2.0,1.0,0.0,0.5,63.0,275.0,0.0,2.0,0.0,1.0,1.0,30,Online Banking,343,0,57.794333333333334,0.4,0.0,0
12,41,F,Married,Low,1,87.1,87.1,87.1,87.1,87.1,0.0,1,0.0,59,0,1.0,0,0,1,0,0,2.0,1.0,0.0,0.5,31.0,321.0,0.0,1.0,1.0,1.0,1.0,43,Website,0,0,2.025581395348837,2.0,0.0,0
13,24,F,Divorced,Low,3,392.02,130.67333333333332,164.72,173.13,54.17,66.38713755941984,3,0.3333333333333333,95,66,0.04477611940298507,1,1,1,0,0,1.0,0.0,1.0,0.0,156.0,0.0,1.0,0.0,0.0,1.0,0.0,10,Mobile App,179,0,39.202,0.3333333333333333,0.3333333333333333,0
14,42,M,Widowed,Medium,9,2843.59,315.95444444444445,335.44,478.59,150.22,139.54763676887467,4,0.3333333333333333,53,295,0.030405405405405407,1,1,0,3,4,2.0,1.0,1.0,0.5,154.0,4.0,1.0,1.0,0.0,1.0,1.0,26,Online Banking,355,0,109.36884615384616,0.2222222222222222,0.1111111111111111,0
15,42,M,Divorced,Medium,8,1914.02,239.2525,229.57,406.29,68.63,118.15795913582316,5,0.0,15,330,0.02416918429003021,2,1,1,2,2,2.0,2.0,1.0,1.0,73.0,256.0,1.0,1.0,0.0,0.0,2.0,44,Online Banking,199,0,43.500454545454545,0.25,0.125,0
16,30,F,Single,Medium,9,2019.79,224.42111111111112,159.18,470.53,52.67,137.18810138314151,4,0.3333333333333333,17,144,0.06206896551724138,4,1,1,3,0,2.0,0.0,0.0,0.0,113.0,70.0,0.0,0.0,2.0,2.0,0.0,41,Online Banking,291,1,49.26317073170732,0.2222222222222222,0.0,0
17,19,M,Married,Low,7,1625.27,232.18142857142857,124.02,444.06,67.2,167.27710307835235,5,0.14285714285714285,37,174,0.04,1,1,2,1,2,2.0,1.0,0.0,0.5,233.0,5.0,0.0,0.0,2.0,1.0,1.0,8,Online Banking,119,0,203.15875,0.2857142857142857,0.0,1
18,56,F,Married,High,5,951.3800000000001,190.276,164.11,281.73,97.23,76.00051565614538,3,0.0,123,228,0.021834061135371178,2,0,0,2,1,1.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,1.0,0.0,1.0,37,Website,37,1,25.712972972972977,0.2,0.0,0
19,57,F,Divorced,High,5,1017.26,203.452,125.66,477.83,11.82,214.31211927933518,3,0.0,9,227,0.021929824561403508,0,1,0,3,1,2.0,2.0,2.0,1.0,32.0,224.0,2.0,0.0,0.0,0.0,2.0,39,Online Banking,298,0,26.083589743589744,0.4,0.4,0
20,41,M,Single,Low,9,2775.85,308.42777777777775,324.99,488.22,39.34,161.95079860699806,5,0.2222222222222222,14,318,0.02821316614420063,1,3,1,1,3,1.0,0.0,0.0,0.0,164.0,0.0,0.0,1.0,0.0,1.0,0.0,16,Website,138,0,173.490625,0.1111111111111111,0.0,0
21,64,M,Divorced,High,5,913.02,182.60399999999998,153.58,380.48,64.35,124.96018497905644,2,0.4,151,167,0.02976190476190476,3,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Website,198,0,50.72333333333333,0.0,0.0,0
22,42,F,Divorced,Low,6,1582.73,263.78833333333336,233.32,463.48,89.96,143.2174139435099,4,0.0,73,260,0.022988505747126436,1,1,0,3,1,2.0,0.0,0.0,0.0,146.0,211.0,0.0,0.0,2.0,2.0,0.0,42,Mobile App,239,0,37.68404761904762,0.3333333333333333,0.0,0
